来源	文件	位置	原文	参考译文	填写中文	长度状态
UI	lang0.pak	DST_ACCOUNT_CREATE_SUCCESS	"[align = ""center""][font size = ""12"" color=""f4d762""]Account Creation Successful[/font][br][br][font size = ""10"" color=""ffffff""]Your account has been created and should[br]now have access to Dragon Ball Online[/font]"		"[align = ""center""][font size = ""12"" color=""f4d762""]账号创建成功[/font][br][br][font size = ""10"" color=""ffffff""]你的账号已创建，[br]现在可以进入Dragon Ball Online[/font]"	ok
UI	lang0.pak	DST_ACCOUNT_SERVER_CONNECT_FAIL	"[align = ""center""][font size = ""12"" color=""f4d762""]Authentication Failure[/font][br][br][font size = ""10"" color=""f36a7c""]You've failed to connect to[br]the authentication server.[/font][br][br][font size = ""10"" color=""ffffff""]Please try again in a few minutes.[/font]"		"[align = ""center""][font size = ""12"" color=""f4d762""]验证失败[/font][br][br][font size = ""10"" color=""f36a7c""]无法连接到[br]验证服务器。[/font][br][br][font size = ""10"" color=""ffffff""]请几分钟后再试。[/font]"	ok
UI	lang0.pak	DST_ACTION_TYPE_NORMAL	Normal	一般动作	普通	ok
UI	lang0.pak	DST_ACTION_TYPE_SOCIAL	Social	社交动作	社交	ok
UI	lang0.pak	DST_AGGROLIST_TITLE	Aggro List	敌对目录	敌对目录	ok
UI	lang0.pak	DST_AGGROPT_AVATAR	Your Aggro.	我的仇恨值。	你的仇恨。	ok
UI	lang0.pak	DST_AGGROPT_PARTY	Party's Aggro.	队员的仇恨值。	队员的仇恨值。	ok
UI	lang0.pak	DST_AGGROPT_PET	Pet's Aggro.	召唤兽的仇恨值。	宠物仇恨。	ok
UI	lang0.pak	DST_AIRING_POSE	Motion posture	舞空执行动作	舞空执行动作	ok
UI	lang0.pak	DST_AIR_AP_GUI_COMMENT	AP is consumed only during accelerated flying.\nIt regenerates while you fly slowly or while on ground.		AP只会在加速飞行时消耗。\n慢速飞行或在地面时会恢复。	ok
UI	lang0.pak	DST_AIR_CAN_NOT_FLY	You can't fly right now.	目前无法使用<舞空术>。	目前无法使用<舞空术>。	ok
UI	lang0.pak	DST_AIR_CAN_NOT_USE_BATTLE_MODE	You can't fly during a fight.	战斗状态下无法使用。	战斗状态下无法使用。	ok
UI	lang0.pak	DST_AIR_EFFECT	Air effect	舞空效果	舞空效果	ok
UI	lang0.pak	DST_AIR_POSE	Air pose	舞空动作	舞空动作	ok
UI	lang0.pak	DST_ALRAM_ITEMBOX_USE	"[align = ""center""][font size = ""9"" color=""269eff""]%s[/font][br]Popo's Chest box contains an exp. scroll."		"[align = ""center""][font size = ""9"" color=""269eff""]%s[/font][br]波波宝箱中含有经验卷轴。"	ok
UI	lang0.pak	DST_ALREADY_EXIST_SAME_TYPE_EQIP	That type has already been equipped.	已装置相同类型道具。	已装置相同类型道具。	ok
UI	lang0.pak	DST_ALREADY_SAME_CHANNEL	You are already on this Channel	连线中，请选择其他频道。	连线中，请选择其他频道。	ok
UI	lang0.pak	DST_ASK_CHANGE_CHANNEL	"[align = ""center""][font size = ""12"" color=""f4d762""]Change Channel[/font][br][br][font size = ""10"" color=""ffffff""]You're about to change channel.[/font]"		"[align = ""center""][font size = ""12"" color=""f4d762""]切换频道[/font][br][br][font size = ""10"" color=""ffffff""]即将切换频道。[/font]"	ok
UI	lang0.pak	DST_AUTO_RECOVER_ARRAY	Remaining amount of recovery: %s	剩余恢复量 %s	剩余恢复量 %s	ok
UI	lang0.pak	DST_AUTO_RECOVER_COMMENT	If %s less than %d%% recover %d%% 		%s低于%d%%时恢复%d%% 	ok
UI	lang0.pak	DST_AUTO_RECOVER_COMMENT1	Must wait %s seconds after recovery	恢复后 %s秒内无法进行恢复	恢复后 %s秒内无法进行恢复	ok
UI	lang0.pak	DST_AVATAR_SEX_FEMALE	Female	女性	女性	ok
UI	lang0.pak	DST_AVATAR_SEX_MALE	Male	男性	男性	ok
UI	lang0.pak	DST_AVATAR_SEX_NOT_EXIST	No Gender	中性	中性	ok
UI	lang0.pak	DST_AXE	Axe	斧	斧	ok
UI	lang0.pak	DST_A_DAY	Date	日期	日期	ok
UI	lang0.pak	DST_BACKDST_PACK	Backpack	背包	背包	ok
UI	lang0.pak	DST_TAIL	Tail		尾巴	ok
UI	lang0.pak	DST_BAG_REMOTE_SELL	Remote Sales	遥控贩卖	遥控贩卖	ok
